 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +2.3200000000000000E+02,  +6.4211018051973625E+01,  +6.2719599196579594E+01,  +5.9873816217580448E+01,
  +2.3300000000000000E+02,  +6.3386111084566551E+01,  +6.1370906462214123E+01,  +5.8006777921131615E+01,
  +2.3400000000000000E+02,  +6.3069118760355650E+01,  +6.0607048985791891E+01,  +5.7228990185081457E+01,
  +2.3500000000000000E+02,  +6.1992623471973367E+01,  +5.9242444069754256E+01,  +5.5856652851899618E+01,
  +2.3600000000000000E+02,  +5.9552831894331405E+01,  +5.6426549201527209E+01,  +5.2937057480921489E+01,
  +2.3700000000000000E+02,  +6.0396280653546796E+01,  +5.6620900945366500E+01,  +5.3194749635081273E+01,
  +2.3800000000000000E+02,  +6.0426084511495226E+01,  +5.6537369735253513E+01,  +5.3240603082454257E+01,
  +2.3900000000000000E+02,  +5.8860027623068504E+01,  +5.5201998069271525E+01,  +5.2012951906729427E+01,
  +2.4000000000000000E+02,  +5.7501243725867624E+01,  +5.3998330201763885E+01,  +5.0797859788302134E+01,
  +2.4100000000000000E+02,  +5.6220589569823140E+01,  +5.2815004508640030E+01,  +4.9576860442897669E+01,
  +2.4200000000000000E+02,  +5.4992306650289741E+01,  +5.1641599398335153E+01,  +4.8366541930449749E+01,
  +2.4300000000000000E+02,  +5.8646912964787198E+01,  +5.4064423270445666E+01,  +5.0416821979793077E+01,
  +2.4400000000000000E+02,  +6.0008405714362382E+01,  +5.5037226051529622E+01,  +5.1584870898848109E+01,
  +2.4500000000000000E+02,  +5.7641968984739421E+01,  +5.3384955916891030E+01,  +5.0380735675003528E+01,
  +2.4600000000000000E+02,  +5.4587933170443328E+01,  +5.0971739293878230E+01,  +4.7912026603103421E+01,
  +2.4700000000000000E+02,  +5.7301543695179163E+01,  +5.2321705984661371E+01,  +4.8839597242826997E+01,
  +2.4800000000000000E+02,  +5.7473024738116109E+01,  +5.2417705151068702E+01,  +4.9275095567940731E+01,
  +2.4900000000000000E+02,  +5.4515119963061473E+01,  +5.0470708590355969E+01,  +4.7631825941533364E+01,
  +2.5000000000000000E+02,  +5.2287434150469849E+01,  +4.8748766309341640E+01,  +4.5718602622447825E+01,
  +2.5100000000000000E+02,  +5.6548648454573438E+01,  +5.1182278107653865E+01,  +4.7555142523846101E+01,
  +2.5200000000000000E+02,  +5.7661321810626802E+01,  +5.1955530463758826E+01,  +4.8696704364571090E+01,
  +2.5300000000000000E+02,  +5.4882967059443310E+01,  +5.0336447037182850E+01,  +4.7617062698709447E+01,
  +2.5400000000000000E+02,  +5.2720964237857686E+01,  +4.8901083244982324E+01,  +4.6059351272112934E+01,
  +2.5500000000000000E+02,  +5.0837480074395515E+01,  +4.7367120992466816E+01,  +4.4306265119310872E+01,
  +2.5600000000000000E+02,  +5.5698093915563220E+01,  +5.0022957531779319E+01,  +4.6338643839790493E+01,
  +2.5700000000000000E+02,  +5.6634943536617023E+01,  +5.0712957378407481E+01,  +4.7544508236685687E+01,
  +2.5800000000000000E+02,  +5.8257607795340370E+01,  +5.2889706534134582E+01,  +4.9547170275125616E+01,
  +2.5900000000000000E+02,  +6.1202459973243272E+01,  +5.6702049555897666E+01,  +5.3036051932636084E+01,
  +2.6000000000000000E+02,  +6.2428881461651550E+01,  +5.9083980562215217E+01,  +5.5648099999572239E+01,
  +2.6100000000000000E+02,  +6.3213389390414143E+01,  +6.0632377543414869E+01,  +5.7422705705237206E+01,
  +2.6200000000000000E+02,  +6.3872559345068325E+01,  +6.1941107016093959E+01,  +5.9026237915093795E+01,
  +2.6300000000000000E+02,  +6.4302704000796581E+01,  +6.2894450059811838E+01,  +6.0266486639079574E+01,
  +2.6400000000000000E+02,  +6.4080394492941593E+01,  +6.2534488264942190E+01,  +5.9504316431950542E+01,
  +2.6500000000000000E+02,  +6.4125208571223340E+01,  +6.2566839314543110E+01,  +5.9636314216953444E+01,
  +2.6600000000000000E+02,  +6.3954837063856601E+01,  +6.2262579229492140E+01,  +5.9192588744514651E+01,
