 TIME                                   ,Massenstrom                             ,
  +9.5000000000000000E+01,  +2.3248027201148054E+02,
  +9.6000000000000000E+01,  +2.2386987940684043E+02,
  +9.7000000000000000E+01,  +2.1525950729490552E+02,
  +9.8000000000000000E+01,  +2.0664913518297061E+02,
  +9.9000000000000000E+01,  +2.0664913518297061E+02,
  +1.0000000000000000E+02,  +2.2386987940684043E+02,
  +1.0100000000000000E+02,  +3.5302558378378376E+02,
  +1.0200000000000000E+02,  +4.6496054393685722E+02,
  +1.0300000000000000E+02,  +4.8218128816072709E+02,
  +1.0400000000000000E+02,  +4.3051901458981104E+02,
  +1.0500000000000000E+02,  +3.9607748524276485E+02,
  +1.0600000000000000E+02,  +4.1329827045204490E+02,
  +1.0700000000000000E+02,  +3.8746711313082989E+02,
  +1.0800000000000000E+02,  +3.1858407492944275E+02,
  +1.0900000000000000E+02,  +3.2719444695527380E+02,
  +1.1000000000000000E+02,  +3.4441521167184885E+02,
  +1.1100000000000000E+02,  +3.6163595580961493E+02,
  +1.1200000000000000E+02,  +3.7885674101889498E+02,
  +1.1300000000000000E+02,  +3.8746711313082989E+02,
  +1.1400000000000000E+02,  +5.0801244539583826E+02,
  +1.1500000000000000E+02,  +5.2523318961970824E+02,
  +1.1600000000000000E+02,  +5.0801244539583826E+02,
  +1.1700000000000000E+02,  +4.8218128816072709E+02,
  +1.1800000000000000E+02,  +2.9275293810093279E+02,
  +1.1900000000000000E+02,  +2.8414254549629277E+02,
  +1.2000000000000000E+02,  +2.7553217347046160E+02,
  +1.2100000000000000E+02,  +2.7553217347046160E+02,
  +1.2200000000000000E+02,  +2.5831140875388667E+02,
  +1.2300000000000000E+02,  +2.7553217347046160E+02,
  +1.2400000000000000E+02,  +3.3580483955991394E+02,
  +1.2500000000000000E+02,  +4.4773975872757717E+02,
  +1.2600000000000000E+02,  +6.1133699253767031E+02,
  +1.2700000000000000E+02,  +5.5967471896675431E+02,
  +1.2800000000000000E+02,  +4.9079166018655826E+02,
  +1.2900000000000000E+02,  +4.7357091604879213E+02,
  +1.3000000000000000E+02,  +4.4773975872757717E+02,
  +1.3100000000000000E+02,  +4.1329827045204490E+02,
  +1.3200000000000000E+02,  +4.1329827045204490E+02,
  +1.3300000000000000E+02,  +3.9607748524276485E+02,
  +1.3400000000000000E+02,  +4.1329827045204490E+02,
  +1.3500000000000000E+02,  +4.4773975872757717E+02,
  +1.3600000000000000E+02,  +4.2190864247787613E+02,
  +1.3700000000000000E+02,  +4.7357091604879213E+02,
  +1.3800000000000000E+02,  +4.7357091604879213E+02,
  +1.3900000000000000E+02,  +5.0801244539583826E+02,
  +1.4000000000000000E+02,  +5.4245397482898818E+02,
  +1.4100000000000000E+02,  +5.1662281750777333E+02,
  +1.4200000000000000E+02,  +2.8414254549629277E+02,
  +1.4300000000000000E+02,  +2.9275293810093279E+02,
  +1.4400000000000000E+02,  +2.6692178086582157E+02,
  +1.4500000000000000E+02,  +2.9275293810093279E+02,
  +1.4600000000000000E+02,  +2.6692178086582157E+02,
  +1.4700000000000000E+02,  +2.8414254549629277E+02,
  +1.4800000000000000E+02,  +3.1858407492944275E+02,
  +1.4900000000000000E+02,  +4.3051901458981104E+02,
  +1.5000000000000000E+02,  +6.1133699253767031E+02,
  +1.5100000000000000E+02,  +5.7689546310452045E+02,
  +1.5200000000000000E+02,  +5.1662281750777333E+02,
  +1.5300000000000000E+02,  +4.1329827045204490E+02,
  +1.5400000000000000E+02,  +4.0468785726859602E+02,
  +1.5500000000000000E+02,  +4.1329827045204490E+02,
  +1.5600000000000000E+02,  +3.7885674101889498E+02,
  +1.5700000000000000E+02,  +4.0468785726859602E+02,
  +1.5800000000000000E+02,  +3.5302558378378376E+02,
  +1.5900000000000000E+02,  +4.2190864247787613E+02,
  +1.6000000000000000E+02,  +4.3912938670174594E+02,
  +1.6100000000000000E+02,  +4.7357091604879213E+02,
  +1.6200000000000000E+02,  +5.2523318961970824E+02,
  +1.6300000000000000E+02,  +5.5967471896675431E+02,
  +1.6400000000000000E+02,  +5.2523318961970824E+02,
  +1.6500000000000000E+02,  +5.0801244539583826E+02,
  +1.6600000000000000E+02,  +2.8414254549629277E+02,
  +1.6700000000000000E+02,  +2.4109064403731162E+02,
  +1.6800000000000000E+02,  +2.4109064403731162E+02,
  +1.6900000000000000E+02,  +2.3248027201148054E+02,
  +1.7000000000000000E+02,  +2.2386987940684043E+02,
  +1.7100000000000000E+02,  +2.2386987940684043E+02,
  +1.7200000000000000E+02,  +2.9275293810093279E+02,
  +1.7300000000000000E+02,  +4.4773975872757717E+02,
  +1.7400000000000000E+02,  +5.5967471896675431E+02,
  +1.7500000000000000E+02,  +5.5967471896675431E+02,
  +1.7600000000000000E+02,  +4.6496054393685722E+02,
  +1.7700000000000000E+02,  +4.4773975872757717E+02,
  +1.7800000000000000E+02,  +4.2190864247787613E+02,
  +1.7900000000000000E+02,  +4.0468785726859602E+02,
  +1.8000000000000000E+02,  +3.7885674101889498E+02,
  +1.8100000000000000E+02,  +3.6163595580961493E+02,
  +1.8200000000000000E+02,  +4.1329827045204490E+02,
  +1.8300000000000000E+02,  +3.9607748524276485E+02,
