 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +1.4500000000000000E+02,  +4.0339999999999998E+00,  +7.0000000000000000E+02,
  +1.4600000000000000E+02,  +3.6930000000000001E+00,  +7.0000000000000000E+02,
  +1.4700000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4800000000000000E+02,  +4.9850000000000003E+00,  +7.0000000000000000E+02,
  +1.4900000000000000E+02,  +5.0250000000000004E+00,  +7.0000000000000000E+02,
  +1.5000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5400000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5500000000000000E+02,  +1.4898999999999999E+01,  +7.0000000000000000E+02,
  +1.5600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5700000000000000E+02,  +1.3048999999999999E+01,  +7.0000000000000000E+02,
  +1.5800000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5900000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6100000000000000E+02,  +1.5167000000000000E+01,  +7.0000000000000000E+02,
  +1.6200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6400000000000000E+02,  +1.6327999999999999E+01,  +7.0000000000000000E+02,
  +1.6500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6600000000000000E+02,  +1.4231999999999999E+01,  +7.0000000000000000E+02,
  +1.6700000000000000E+02,  +1.0581000000000000E+01,  +7.0000000000000000E+02,
  +1.6800000000000000E+02,  +7.8639999999999999E+00,  +7.0000000000000000E+02,
  +1.6900000000000000E+02,  +5.9829999999999997E+00,  +7.0000000000000000E+02,
  +1.7000000000000000E+02,  +4.7220000000000004E+00,  +7.0000000000000000E+02,
  +1.7100000000000000E+02,  +3.9249999999999998E+00,  +7.0000000000000000E+02,
  +1.7200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7400000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
