 TIME                                   ,T_R                                     ,
  +1.8000000000000000E+02,  +5.0666003340543945E+01,
  +1.8100000000000000E+02,  +5.2196009191583158E+01,
  +1.8200000000000000E+02,  +5.2937812915974604E+01,
  +1.8300000000000000E+02,  +5.3351290353382765E+01,
  +1.8400000000000000E+02,  +5.3559361334643000E+01,
  +1.8500000000000000E+02,  +5.3637734025716355E+01,
  +1.8600000000000000E+02,  +5.3585624223628443E+01,
  +1.8700000000000000E+02,  +5.3492523714972364E+01,
  +1.8800000000000000E+02,  +5.1898774585291129E+01,
  +1.8900000000000000E+02,  +5.1650554870905992E+01,
  +1.9000000000000000E+02,  +5.2839933944237252E+01,
  +1.9100000000000000E+02,  +5.3677335089253965E+01,
  +1.9200000000000000E+02,  +5.4143767810942194E+01,
  +1.9300000000000000E+02,  +5.3845337729788163E+01,
  +1.9400000000000000E+02,  +5.3850561788380865E+01,
  +1.9500000000000000E+02,  +5.4225473230770959E+01,
  +1.9600000000000000E+02,  +5.3783825194793494E+01,
  +1.9700000000000000E+02,  +5.2331936073900224E+01,
  +1.9800000000000000E+02,  +4.9692255983001729E+01,
  +1.9900000000000000E+02,  +4.6413372328882559E+01,
  +2.0000000000000000E+02,  +4.3465931029352980E+01,
  +2.0100000000000000E+02,  +4.0749185219824717E+01,
  +2.0200000000000000E+02,  +4.5266255286069921E+01,
  +2.0300000000000000E+02,  +4.9991419232482393E+01,
  +2.0400000000000000E+02,  +5.1902292811090284E+01,
  +2.0500000000000000E+02,  +5.2936249501216906E+01,
  +2.0600000000000000E+02,  +5.3487171080415472E+01,
  +2.0700000000000000E+02,  +5.3840166900573877E+01,
  +2.0800000000000000E+02,  +5.4039570338177882E+01,
  +2.0900000000000000E+02,  +5.4127925189923758E+01,
  +2.1000000000000000E+02,  +5.3233705041753808E+01,
  +2.1100000000000000E+02,  +5.2935816909646313E+01,
  +2.1200000000000000E+02,  +5.3332660442508242E+01,
  +2.1300000000000000E+02,  +5.3572357920247960E+01,
  +2.1400000000000000E+02,  +5.3963669545178313E+01,
  +2.1500000000000000E+02,  +5.4340035240585991E+01,
  +2.1600000000000000E+02,  +5.4160504157821677E+01,
  +2.1700000000000000E+02,  +5.3525729121592086E+01,
  +2.1800000000000000E+02,  +5.2710029024867140E+01,
  +2.1900000000000000E+02,  +5.1651757126236930E+01,
  +2.2000000000000000E+02,  +5.0298803172868190E+01,
  +2.2100000000000000E+02,  +4.8396832077151856E+01,
  +2.2200000000000000E+02,  +4.5573057314876650E+01,
  +2.2300000000000000E+02,  +4.7725609571675172E+01,
  +2.2400000000000000E+02,  +4.7351468926623362E+01,
  +2.2500000000000000E+02,  +4.8829153232122884E+01,
  +2.2600000000000000E+02,  +5.1516223402037483E+01,
  +2.2700000000000000E+02,  +5.0803044814427807E+01,
  +2.2800000000000000E+02,  +5.1407950188939331E+01,
  +2.2900000000000000E+02,  +5.2945610752302798E+01,
  +2.3000000000000000E+02,  +5.3594702518256611E+01,
  +2.3100000000000000E+02,  +5.3957145655891409E+01,
  +2.3200000000000000E+02,  +5.4125616395603700E+01,
  +2.3300000000000000E+02,  +5.4129763653563870E+01,
