time;electricity;PV;temp;heat_water;heat_space
2020-04-05 09:00:00;0.810181053;0.415;8.037;0.39126495;2.431992704
2020-04-05 10:00:00;0.791966536;0.608;11.466;0.355258973;2.271993184
2020-04-05 11:00:00;0.844276557;0.744;13.903;0.36005977;2.127993616
2020-04-05 12:00:00;0.9940302;0.824;15.407;0.348057778;2.095993712
2020-04-05 13:00:00;1.040570693;0.85;16.545;0.280846621;2.175993472
2020-04-05 14:00:00;0.641754389;0.826;17.381;0.268844628;2.255993232
2020-04-05 15:00:00;0.53490618;0.752;17.858;0.240039847;2.415992752
2020-04-05 16:00:00;0.439537334;0.626;17.915;0.280846621;2.511992464
2020-04-05 17:00:00;0.615264411;0.449;17.504;0.331254988;2.63999208
2020-04-05 18:00:00;0.745233083;0.234;16.244;0.321653394;2.751991744
2020-04-05 19:00:00;0.839571473;0.039;13.508;0.338456184;2.751991744
2020-04-05 20:00:00;0.676292274;0;11.191;0.350458176;2.607992176
2020-04-05 21:00:00;0.509221606;0;10.786;0.300049808;2.287993136
2020-04-05 22:00:00;0.690451386;0;10.258;0.175229088;1.5999952
2020-04-05 23:00:00;0.415615138;0;9.643;0.072011954;1.215996352
