 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
 HOURS              ,"°C                 ,°C                  ,°C"                 ,
  +2.2020000000000000E+03,  +5.8104945166172683E+01,  +5.3149028280129272E+01,  +5.0440141492587557E+01,
  +2.2030000000000000E+03,  +6.1232616828235543E+01,  +5.6779969473673809E+01,  +5.2854960650235043E+01,
  +2.2040000000000000E+03,  +6.2457602212501051E+01,  +5.8771554590806232E+01,  +5.3569802482267072E+01,
  +2.2050000000000000E+03,  +6.1541590413311717E+01,  +5.7730793442627274E+01,  +5.2985508367113972E+01,
  +2.2060000000000000E+03,  +5.9622932122865166E+01,  +5.5654632183196625E+01,  +5.2060858903318540E+01,
  +2.2070000000000000E+03,  +6.1165212080732921E+01,  +5.7282539678576775E+01,  +5.3245427468236265E+01,
  +2.2080000000000000E+03,  +6.1934672365293537E+01,  +5.7904055153141101E+01,  +5.2805947993681720E+01,
  +2.2090000000000000E+03,  +6.2684667783653161E+01,  +5.9256851620709199E+01,  +5.4851970391043729E+01,
  +2.2100000000000000E+03,  +6.2938653263646493E+01,  +5.9765173635094570E+01,  +5.5424174716520390E+01,
  +2.2110000000000000E+03,  +6.1813900953781918E+01,  +5.8030859663807639E+01,  +5.1724298747893982E+01,
  +2.2120000000000000E+03,  +6.0140616308045580E+01,  +5.5217643516729339E+01,  +4.6879393547025209E+01,
  +2.2130000000000000E+03,  +5.7535737265492465E+01,  +5.1998929635011002E+01,  +4.6566281667394577E+01,
  +2.2140000000000000E+03,  +5.8992770604814410E+01,  +5.3794887952992823E+01,  +5.0833095105010592E+01,
  +2.2150000000000000E+03,  +6.1565416403098190E+01,  +5.7157720751507092E+01,  +5.2253633477680843E+01,
  +2.2160000000000000E+03,  +6.2659162729453378E+01,  +5.8982432059947207E+01,  +5.3451908213036312E+01,
  +2.2170000000000000E+03,  +6.1766626545098269E+01,  +5.8064901767722070E+01,  +5.3604893247847599E+01,
  +2.2180000000000000E+03,  +6.2040095105824122E+01,  +5.8421039398582806E+01,  +5.3994475583629900E+01,
  +2.2190000000000000E+03,  +6.3191956250115041E+01,  +6.0013430241727157E+01,  +5.4205322493162143E+01,
  +2.2200000000000000E+03,  +6.2447912317247571E+01,  +5.8792579144124289E+01,  +5.2818508788505056E+01,
  +2.2210000000000000E+03,  +6.2511960872229523E+01,  +5.8958608649762610E+01,  +5.4612811249177525E+01,
  +2.2220000000000000E+03,  +6.2003404455716264E+01,  +5.8553674230854227E+01,  +5.4252415172496299E+01,
  +2.2230000000000000E+03,  +5.9982059353010321E+01,  +5.6190693098737313E+01,  +5.1957318042220315E+01,
  +2.2240000000000000E+03,  +5.7779872689977772E+01,  +5.3986798564761855E+01,  +5.0525217029067029E+01,
  +2.2250000000000000E+03,  +5.5608677076779905E+01,  +5.2186384157975155E+01,  +4.9584190243952889E+01,
  +2.2260000000000000E+03,  +5.8433422660116413E+01,  +5.3951340861401881E+01,  +5.0662256029094372E+01,
  +2.2270000000000000E+03,  +5.8719372525753485E+01,  +5.3787998336812628E+01,  +4.9526353106751927E+01,
  +2.2280000000000000E+03,  +5.9829178507659101E+01,  +5.4937492475320674E+01,  +5.0255340239224182E+01,
  +2.2290000000000000E+03,  +6.2198402626691276E+01,  +5.8239299386713675E+01,  +5.4372036768300219E+01,
  +2.2300000000000000E+03,  +6.3423908773364737E+01,  +6.0699547123396137E+01,  +5.6796732742722099E+01,
  +2.2310000000000000E+03,  +6.4153221665134495E+01,  +6.2262739129767773E+01,  +5.8118980311748331E+01,
  +2.2320000000000000E+03,  +6.4114505683421285E+01,  +6.2171554478193194E+01,  +5.7714621369793079E+01,
  +2.2330000000000000E+03,  +6.4237682310981398E+01,  +6.2492633505873485E+01,  +5.8734412883348980E+01,
  +2.2340000000000000E+03,  +6.4192760727924352E+01,  +6.2376867699516360E+01,  +5.7954364170310683E+01,
  +2.2350000000000000E+03,  +6.3533670497639257E+01,  +6.0828244706296537E+01,  +5.4581149106234378E+01,
  +2.2360000000000000E+03,  +6.2415232921468714E+01,  +5.8774700389812438E+01,  +5.2981382008520832E+01,
  +2.2370000000000000E+03,  +6.0612439757528982E+01,  +5.6427639197158157E+01,  +5.1638117053742022E+01,
  +2.2380000000000000E+03,  +6.1123977268215626E+01,  +5.6644479769685027E+01,  +5.0509764657444968E+01,
  +2.2390000000000000E+03,  +6.0143590396595783E+01,  +5.4718869252002193E+01,  +4.6649390010562300E+01,
  +2.2400000000000000E+03,  +6.0521428925596453E+01,  +5.5118487849988298E+01,  +4.9544696625185580E+01,
  +2.2410000000000000E+03,  +6.2412580097678394E+01,  +5.8535349286355050E+01,  +5.4766479202910439E+01,
  +2.2420000000000000E+03,  +6.1947960251539108E+01,  +5.8285327830624439E+01,  +5.3053957913813093E+01,
  +2.2430000000000000E+03,  +6.0047744031136936E+01,  +5.5622724683875703E+01,  +4.9493375724969283E+01,
  +2.2440000000000000E+03,  +5.7987847232489663E+01,  +5.3330890539714204E+01,  +4.9176439444292050E+01,
  +2.2450000000000000E+03,  +5.5967698687430357E+01,  +5.1763461360380170E+01,  +4.8932509297724657E+01,
  +2.2460000000000000E+03,  +5.4052891714901186E+01,  +5.0148359821186688E+01,  +4.6248822357676254E+01,
  +2.2470000000000000E+03,  +5.2158834990418789E+01,  +4.8438690635546685E+01,  +4.5365058501045439E+01,
  +2.2480000000000000E+03,  +5.0472228413048292E+01,  +4.7916414691064347E+01,  +4.7142055814654874E+01,
  +2.2490000000000000E+03,  +4.9381431396671125E+01,  +4.8053661934282616E+01,  +4.7971079726986837E+01,
  +2.2500000000000000E+03,  +4.8818500380966206E+01,  +4.8255658500245026E+01,  +4.8187302625381278E+01,
  +2.2510000000000000E+03,  +5.5329752922233659E+01,  +5.1238046890573649E+01,  +4.9405124401555561E+01,
  +2.2520000000000000E+03,  +6.0760618504142748E+01,  +5.5717027825563669E+01,  +5.1997759934859836E+01,
  +2.2530000000000000E+03,  +6.2627745310036047E+01,  +5.9007327710524400E+01,  +5.4537446155733242E+01,
  +2.2540000000000000E+03,  +6.3671783935628930E+01,  +6.1099977601480099E+01,  +5.6528708230203691E+01,
  +2.2550000000000000E+03,  +6.3646378235530996E+01,  +6.1072366415871279E+01,  +5.5855661082565803E+01,
  +2.2560000000000000E+03,  +6.3030297331081329E+01,  +5.9912442737469753E+01,  +5.4490832911077106E+01,
  +2.2570000000000000E+03,  +6.2399871806687969E+01,  +5.8905708156333588E+01,  +5.3681101468188729E+01,
  +2.2580000000000000E+03,  +6.1662540850295102E+01,  +5.7818943930068485E+01,  +5.2179855943654580E+01,
