 TIME                                   ,Massenstrom                             ,
  +2.2470000000000000E+03,  +2.7139837259985649E+02,
  +2.2480000000000000E+03,  +2.8379728302320018E+02,
  +2.2490000000000000E+03,  +2.9757385016024870E+02,
  +2.2500000000000000E+03,  +3.0859510386988757E+02,
  +2.2510000000000000E+03,  +3.0859510386988757E+02,
  +2.2520000000000000E+03,  +2.9206322330542929E+02,
  +2.2530000000000000E+03,  +2.5624414874910303E+02,
  +2.2540000000000000E+03,  +1.7909537278163117E+02,
  +2.2550000000000000E+03,  +1.3776567137048553E+02,
  +2.2560000000000000E+03,  +9.7813626673044709E+01,
  +2.2570000000000000E+03,  +1.0332425352786416E+02,
  +2.2580000000000000E+03,  +1.0883488038268356E+02,
  +2.2590000000000000E+03,  +1.2261144751973211E+02,
  +2.2600000000000000E+03,  +1.5567520864864863E+02,
  +2.2610000000000000E+03,  +2.0802616376943314E+02,
  +2.2620000000000000E+03,  +2.5211117860798851E+02,
  +2.2630000000000000E+03,  +2.4246758161205449E+02,
  +2.2640000000000000E+03,  +2.3006867118871085E+02,
  +2.2650000000000000E+03,  +2.0940382048313796E+02,
  +2.2660000000000000E+03,  +1.9562725334608942E+02,
  +2.2670000000000000E+03,  +1.8322834292274575E+02,
  +2.2680000000000000E+03,  +1.8047302949533602E+02,
  +2.2690000000000000E+03,  +1.8736131306386031E+02,
  +2.2700000000000000E+03,  +1.9424959663238457E+02,
  +2.2710000000000000E+03,  +2.0802616376943314E+02,
  +2.2720000000000000E+03,  +2.1629210405166228E+02,
  +2.2730000000000000E+03,  +2.2731335776130109E+02,
  +2.2740000000000000E+03,  +2.3695695475723511E+02,
  +2.2750000000000000E+03,  +2.3695695475723511E+02,
  +2.2760000000000000E+03,  +2.2455804433389142E+02,
  +2.2770000000000000E+03,  +1.9700491005979430E+02,
  +2.2780000000000000E+03,  +1.3776567137048553E+02,
  +2.2790000000000000E+03,  +1.0470191024156898E+02,
