index,electricity,PV,temp,heat_water,heat_space
324,0.0,0.0,4.895,1.0,6.199999809
325,0.0,0.0,4.731,0.800000012,5.800000191
326,0.0,0.0,4.047,0.600000024,5.199999809
327,0.0,0.0,2.941,0.600000024,5.900000095
328,0.0,0.0,2.165,0.600000024,6.400000095
329,0.0,0.0,1.601,0.699999988,6.900000095
330,0.0,0.0,1.268,0.699999988,6.900000095
331,0.0,0.0,0.797,0.699999988,7.400000095
332,0.0,0.0,0.363,0.800000012,8.699999809
333,0.0,0.0,0.366,0.600000024,8.100000381
334,0.0,0.0,0.264,0.5,5.0
335,0.0,0.0,0.265,0.300000012,4.5
336,0.0,0.0,0.192,0.200000003,4.400000095
337,0.0,0.0,0.167,0.100000001,4.400000095
338,0.0,0.0,-0.011,0.0,4.199999809
339,0.0,0.0,0.064,0.0,4.400000095
340,0.0,0.0,0.118,0.100000001,5.900000095
341,0.0,0.0,0.248,0.300000012,8.199999809
342,0.0,0.0,0.917,0.899999976,10.5
343,0.0,0.0,1.4,0.899999976,10.19999981
344,0.0,0.0,2.21,0.800000012,8.600000381
345,0.0,0.0,3.068,0.699999988,8.600000381
346,0.0,0.0,4.156,0.600000024,8.100000381
347,0.0,0.0,5.309,0.600000024,8.399999619
348,0.0,0.0,6.036,0.5,6.699999809
349,0.0,0.0,6.211,0.5,7.400000095
350,0.0,0.0,5.815,0.400000006,6.5
351,0.0,0.0,5.033,0.400000006,7.199999809
352,0.0,0.0,4.565,0.5,7.800000191
353,0.0,0.0,4.365,0.600000024,8.199999809
354,0.0,0.0,4.177,0.699999988,8.5
355,0.0,0.0,4.058,1.0,9.800000191
356,0.0,0.0,4.12,0.899999976,9.399999619
357,0.0,0.0,4.136,1.0,10.19999981
358,0.0,0.0,4.197,0.5,5.900000095
359,0.0,0.0,4.442,0.300000012,5.300000191
360,0.0,0.0,4.551,0.200000003,5.599999905
361,0.0,0.0,4.337,0.100000001,5.199999809
362,0.0,0.0,3.941,0.0,5.5
363,0.0,0.0,3.51,0.0,5.099999905
364,0.0,0.0,3.067,0.100000001,5.699999809
365,0.0,0.0,2.288,0.300000012,8.300000191
366,0.0,0.0,1.935,1.0,11.60000038
367,0.0,0.0,2.17,1.0,11.10000038
368,0.0,0.0,2.741,0.800000012,8.800000191
369,0.0,0.0,3.371,0.699999988,7.900000095
370,0.0,0.0,4.278,0.600000024,7.900000095
371,0.0,0.0,5.073,0.600000024,7.199999809
372,0.0,0.0,5.333,0.5,6.800000191
373,0.0,0.0,5.295,0.5,6.400000095
374,0.0,0.0,4.802,0.400000006,6.400000095
375,0.0,0.0,3.771,0.5,7.0
376,0.0,0.0,3.132,0.5,7.5
377,0.0,0.0,2.88,0.600000024,8.100000381
378,0.0,0.0,2.524,0.699999988,8.899999619
379,0.0,0.0,1.999,0.899999976,9.399999619
380,0.0,0.0,1.684,1.0,9.899999619
381,0.0,0.0,1.739,0.899999976,9.199999809
