index,py_P_elec,py_P_heat,py_m_flow,py_COP,py_status,py_T_1,py_T_2,py_T_3,py_T_m
139,3.692,7.642,700.000,2.070,1.000,62.093,58.907,55.600,58.866
140,0.000,0.000,0.000,1.920,0.000,60.315,57.076,53.732,57.041
141,0.000,0.000,0.000,1.870,0.000,58.739,55.466,52.114,55.440
142,0.000,0.000,0.000,1.840,0.000,57.630,54.340,50.990,54.320
143,0.000,0.000,0.000,1.810,0.000,56.774,53.476,50.128,53.459
144,-0.000,-0.000,0.000,1.790,0.000,56.165,52.862,49.517,52.848
145,5.237,9.269,700.000,1.770,1.000,60.863,57.109,53.599,57.190
146,0.000,0.000,0.000,1.750,0.000,60.105,56.415,53.010,56.510
147,0.000,0.000,0.000,1.740,0.000,59.269,55.648,52.314,55.744
148,0.000,0.000,0.000,1.740,0.000,58.231,54.687,51.394,54.771
149,0.000,0.000,0.000,1.730,0.000,56.875,53.408,50.129,53.470
150,0.000,0.000,0.000,1.730,0.000,55.261,51.855,48.569,51.895
151,0.000,0.000,0.000,1.740,0.000,53.725,50.356,47.057,50.379
152,0.000,0.000,0.000,1.830,0.000,52.277,48.928,45.619,48.941
153,0.000,0.000,0.000,1.960,0.000,50.963,47.626,44.309,47.633
154,0.000,0.000,0.000,2.140,0.000,49.737,46.407,43.085,46.410
155,0.000,0.000,0.000,2.270,0.000,48.591,45.265,41.939,45.265
156,0.000,0.000,0.000,2.360,0.000,47.462,44.138,40.810,44.137
157,0.000,0.000,0.000,2.430,0.000,46.291,42.968,39.638,42.966
158,6.424,15.931,700.000,2.480,1.000,55.919,49.651,45.404,50.325
159,0.000,0.000,0.000,2.510,0.000,53.786,48.335,44.953,49.025
160,0.000,0.000,0.000,2.510,0.000,51.854,47.103,44.061,47.673
161,0.000,0.000,0.000,2.480,0.000,50.053,45.838,42.866,46.252
162,0.000,0.000,0.000,2.410,0.000,48.341,44.497,41.476,44.771
163,0.000,0.000,0.000,2.250,0.000,46.732,43.120,40.019,43.290
164,0.000,0.000,0.000,2.120,0.000,45.263,41.785,38.613,41.887
165,0.000,0.000,0.000,2.100,0.000,44.001,40.594,37.371,40.655
166,0.000,0.000,0.000,2.070,0.000,43.126,39.754,36.503,39.794
167,0.000,0.000,0.000,2.040,0.000,42.464,39.113,35.843,39.140
