HeatStore,hs,hs,hs
N_layer,1,2,3
snapshot,,,
2020-04-04 12:00:00,54.656408156908924,39.99999710593732,25.343594753231955
2020-04-04 13:00:00,54.65533001105623,39.999997106603246,25.344672898471018
2020-04-04 14:00:00,54.65425194451349,39.99999710725595,25.345750964400274
2020-04-04 15:00:00,54.65317395727487,39.99999710792159,25.34682895102556
2020-04-04 16:00:00,54.65209604933454,39.9999971086394,25.34790685835271
2020-04-04 17:00:00,54.65101822068666,39.99999710929166,25.348984686387563
2020-04-04 18:00:00,54.64994047132539,39.99999710994379,25.350062435135932
2020-04-04 19:00:00,54.64886280124491,39.99999711058268,25.351140104603665
2020-04-04 20:00:00,54.647785210439366,39.99999711124761,25.35221769479659
2020-04-04 21:00:00,54.646707698894666,39.99999711190758,25.353295205720535
2020-04-04 22:00:00,54.6456302666477,39.99999711254605,25.354372637381342
2020-04-04 23:00:00,54.64455291363202,39.99999711324978,25.35544998978483
2020-04-05 00:00:00,54.643475639867965,39.999997113901046,25.35652726293685
2020-04-05 01:00:00,54.64239844534972,39.999997114565254,25.357604456843188
2020-04-05 02:00:00,54.64132133006315,39.99999711522453,25.358681571509717
2020-04-05 03:00:00,54.64024429404517,39.99999711586228,25.359758606942247
2020-04-05 04:00:00,54.63916733722934,39.9999971165653,25.36083556314661
2020-04-05 05:00:00,54.63809045963597,39.99999711722894,25.361912440128634
2020-04-05 06:00:00,54.63701366125926,39.99999711791028,25.36298923787631
2020-04-05 07:00:00,54.63593694206724,39.99999711854746,25.3640659564573
2020-04-05 08:00:00,54.634860302132495,39.99999711918454,25.36514259580727
2020-04-05 09:00:00,54.63378374134464,39.99999711988685,25.366219155958213
2020-04-05 10:00:00,54.63270725980242,39.99999712052363,25.367295636915948
2020-04-05 11:00:00,54.631630857421584,39.99999712122564,25.368372038686307
2020-04-05 12:00:00,54.63055453422245,39.9999971218752,25.369448361275108
2020-04-05 13:00:00,54.62947829019919,39.99999712253769,25.370524604688182
2020-04-05 14:00:00,54.62840212533768,39.99999712319526,25.37160076893135
2020-04-05 15:00:00,54.62732603967485,39.99999712383131,25.372676854010443
2020-04-05 16:00:00,54.62625003314426,39.99999712453261,25.373752859931272
2020-04-05 17:00:00,54.62517410576624,39.9999971252207,25.37482878669967
2020-04-05 18:00:00,54.624098257534975,39.999997125882494,25.375904634321454
2020-04-05 19:00:00,54.623022488436355,39.99999712653935,25.37698040280245
2020-04-05 20:00:00,54.621946798507295,39.99999712717469,25.37805609214848
2020-04-05 21:00:00,54.62087118768137,39.99999712787527,25.37913170236536
2020-04-05 22:00:00,54.6197956559789,39.99999712853649,25.380207233458915
2020-04-05 23:00:00,54.61872020339409,39.999997129215416,25.38128268541711
