 TIME                                   ,Massenstrom                             ,
  +2.1700000000000000E+03,  +3.7747907199234635E+02,
  +2.1710000000000000E+03,  +3.6094714183209760E+02,
  +2.1720000000000000E+03,  +3.5405883759866060E+02,
  +2.1730000000000000E+03,  +3.6094714183209760E+02,
  +2.1740000000000000E+03,  +3.7059076775890935E+02,
  +2.1750000000000000E+03,  +3.8574503707247072E+02,
  +2.1760000000000000E+03,  +4.0089930638603204E+02,
  +2.1770000000000000E+03,  +4.1329825400621860E+02,
  +2.1780000000000000E+03,  +4.1880889739296816E+02,
  +2.1790000000000000E+03,  +4.1467591485290598E+02,
  +2.1800000000000000E+03,  +3.9538866299928242E+02,
  +2.1810000000000000E+03,  +3.5268117675197317E+02,
  +2.1820000000000000E+03,  +2.5900023917723030E+02,
  +2.1830000000000000E+03,  +2.1491509208323367E+02,
  +2.1840000000000000E+03,  +1.7634058837598658E+02,
  +2.1850000000000000E+03,  +1.8185123176273621E+02,
  +2.1860000000000000E+03,  +1.8873953599617317E+02,
  +2.1870000000000000E+03,  +2.0251614446304708E+02,
  +2.1880000000000000E+03,  +2.3833532647691939E+02,
  +2.1890000000000000E+03,  +3.1823965558478830E+02,
  +2.1900000000000000E+03,  +3.9676632384596979E+02,
  +2.1910000000000000E+03,  +3.7472375029897154E+02,
  +2.1920000000000000E+03,  +3.6508012437215973E+02,
  +2.1930000000000000E+03,  +3.4579287251853623E+02,
  +2.1940000000000000E+03,  +3.2926094235828748E+02,
  +2.1950000000000000E+03,  +3.1410667304472611E+02,
  +2.1960000000000000E+03,  +3.0859602965797654E+02,
  +2.1970000000000000E+03,  +3.1548433389141354E+02,
  +2.1980000000000000E+03,  +3.2512795981822529E+02,
  +2.1990000000000000E+03,  +3.3890456828509923E+02,
  +2.2000000000000000E+03,  +3.5405883759866060E+02,
  +2.2010000000000000E+03,  +3.6508012437215973E+02,
  +2.2020000000000000E+03,  +3.7196842860559673E+02,
  +2.2030000000000000E+03,  +3.7059076775890935E+02,
  +2.2040000000000000E+03,  +3.5130351590528579E+02,
  +2.2050000000000000E+03,  +3.1272901219803873E+02,
  +2.2060000000000000E+03,  +2.2731403970342024E+02,
  +2.2070000000000000E+03,  +1.8460655345611099E+02,
  +2.2080000000000000E+03,  +1.4740971059555130E+02,
  +2.2090000000000000E+03,  +1.5429801482898827E+02,
  +2.2100000000000000E+03,  +1.6118631906242527E+02,
