 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.2650000000000000E+03,  +4.5328408113941769E+01,
  +2.2660000000000000E+03,  +4.4141475470472670E+01,
  +2.2670000000000000E+03,  +4.2957070699473199E+01,
  +2.2680000000000000E+03,  +4.1828788075401313E+01,
  +2.2690000000000000E+03,  +4.0671188107460360E+01,
  +2.2700000000000000E+03,  +4.9444398529851867E+01,
  +2.2710000000000000E+03,  +4.6689122394278179E+01,
  +2.2720000000000000E+03,  +4.3568311007243807E+01,
  +2.2730000000000000E+03,  +4.1817708168945515E+01,
  +2.2740000000000000E+03,  +4.0992442893160927E+01,
  +2.2750000000000000E+03,  +4.0142000276978074E+01,
  +2.2760000000000000E+03,  +3.9253236770457576E+01,
  +2.2770000000000000E+03,  +3.8328126649498188E+01,
  +2.2780000000000000E+03,  +3.7606006470292499E+01,
  +2.2790000000000000E+03,  +3.7014035408421094E+01,
