 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +2.5700000000000000E+02,  +3.9969946777679027E+01,
  +2.5800000000000000E+02,  +3.9971589179438055E+01,
  +2.5900000000000000E+02,  +3.9972710990926672E+01,
  +2.6000000000000000E+02,  +4.0142834648754970E+01,
  +2.6100000000000000E+02,  +4.8880766349915760E+01,
  +2.6200000000000000E+02,  +4.8885428132949677E+01,
  +2.6300000000000000E+02,  +4.8892309284435740E+01,
  +2.6400000000000000E+02,  +4.8900796320198125E+01,
  +2.6500000000000000E+02,  +4.8910614039307553E+01,
  +2.6600000000000000E+02,  +4.8922271857298796E+01,
  +2.6700000000000000E+02,  +4.8935720867959617E+01,
  +2.6800000000000000E+02,  +4.7484740064077222E+01,
  +2.6900000000000000E+02,  +4.6764984200597127E+01,
  +2.7000000000000000E+02,  +4.3949364288574031E+01,
  +2.7100000000000000E+02,  +4.1263066275922966E+01,
  +2.7200000000000000E+02,  +4.0001358812131436E+01,
  +2.7300000000000000E+02,  +3.9993360219455084E+01,
  +2.7400000000000000E+02,  +3.9987106286569571E+01,
  +2.7500000000000000E+02,  +3.9982672331285983E+01,
  +2.7600000000000000E+02,  +3.9979048116245657E+01,
  +2.7700000000000000E+02,  +3.9976958178892090E+01,
  +2.7800000000000000E+02,  +3.9975476177389027E+01,
  +2.7900000000000000E+02,  +3.9974228445172258E+01,
  +2.8000000000000000E+02,  +3.9974324813558837E+01,
  +2.8100000000000000E+02,  +3.9974391123972993E+01,
  +2.8200000000000000E+02,  +3.9978481598763203E+01,
  +2.8300000000000000E+02,  +3.9980604824652588E+01,
  +2.8400000000000000E+02,  +4.5647048806983868E+01,
  +2.8500000000000000E+02,  +4.3697159189934084E+01,
  +2.8600000000000000E+02,  +4.2399454937075681E+01,
  +2.8700000000000000E+02,  +4.1309982638887902E+01,
  +2.8800000000000000E+02,  +4.0034912648545756E+01,
  +2.8900000000000000E+02,  +4.0017625059196099E+01,
  +2.9000000000000000E+02,  +4.0004688924751342E+01,
  +2.9100000000000000E+02,  +3.9994986959167335E+01,
  +2.9200000000000000E+02,  +3.9988260617755472E+01,
  +2.9300000000000000E+02,  +3.9985582866239035E+01,
  +2.9400000000000000E+02,  +3.9985386576114173E+01,
  +2.9500000000000000E+02,  +3.9984910127073441E+01,
  +2.9600000000000000E+02,  +3.9983831550366340E+01,
  +2.9700000000000000E+02,  +3.9982724921279512E+01,
  +2.9800000000000000E+02,  +3.9981665740329824E+01,
  +2.9900000000000000E+02,  +3.9981121222473192E+01,
  +3.0000000000000000E+02,  +3.9980239211843625E+01,
  +3.0100000000000000E+02,  +3.9980353500942989E+01,
  +3.0200000000000000E+02,  +3.9979740513548030E+01,
  +3.0300000000000000E+02,  +3.9979049185416365E+01,
  +3.0400000000000000E+02,  +3.9980011932624947E+01,
  +3.0500000000000000E+02,  +4.3424295229730127E+01,
  +3.0600000000000000E+02,  +5.1268781743349294E+01,
  +3.0700000000000000E+02,  +5.1270282595348661E+01,
  +3.0800000000000000E+02,  +5.1275452791061774E+01,
  +3.0900000000000000E+02,  +5.1283003891320170E+01,
  +3.1000000000000000E+02,  +5.1286854674719976E+01,
  +3.1100000000000000E+02,  +5.1290441194169148E+01,
  +3.1200000000000000E+02,  +5.1195197645640484E+01,
  +3.1300000000000000E+02,  +5.1258920897572246E+01,
  +3.1400000000000000E+02,  +5.1122854201244316E+01,
  +3.1500000000000000E+02,  +5.1213558113094059E+01,
  +3.1600000000000000E+02,  +5.1229013028164033E+01,
  +3.1700000000000000E+02,  +5.1248610394941537E+01,
  +3.1800000000000000E+02,  +5.1270427571138384E+01,
  +3.1900000000000000E+02,  +5.1285354740510513E+01,
  +3.2000000000000000E+02,  +5.1006128239871707E+01,
  +3.2100000000000000E+02,  +5.0980204563245920E+01,
  +3.2200000000000000E+02,  +5.0962010984624229E+01,
  +3.2300000000000000E+02,  +5.0948138126224073E+01,
  +3.2400000000000000E+02,  +5.1260678053755207E+01,
  +3.2500000000000000E+02,  +5.1306633305740789E+01,
  +3.2600000000000000E+02,  +5.1338298401040916E+01,
  +3.2700000000000000E+02,  +5.1367096203023003E+01,
  +3.2800000000000000E+02,  +5.1392422424350457E+01,
  +3.2900000000000000E+02,  +4.9572503363307611E+01,
  +3.3000000000000000E+02,  +4.7749032495765881E+01,
  +3.3100000000000000E+02,  +4.5790152567115101E+01,
  +3.3200000000000000E+02,  +4.1093640526429134E+01,
  +3.3300000000000000E+02,  +4.3097693785173227E+01,
  +3.3400000000000000E+02,  +4.0184774734327377E+01,
  +3.3500000000000000E+02,  +4.0007950269799728E+01,
  +3.3600000000000000E+02,  +3.9997097787857051E+01,
  +3.3700000000000000E+02,  +3.9988328661859398E+01,
  +3.3800000000000000E+02,  +3.9981078284843960E+01,
  +3.3900000000000000E+02,  +3.9975387737028136E+01,
  +3.4000000000000000E+02,  +3.9977068545269802E+01,
  +3.4100000000000000E+02,  +3.9980660190961004E+01,
  +3.4200000000000000E+02,  +3.9984496244557789E+01,
  +3.4300000000000000E+02,  +3.9985886555046832E+01,
  +3.4400000000000000E+02,  +3.9986687487550405E+01,
  +3.4500000000000000E+02,  +3.9987103088608826E+01,
  +3.4600000000000000E+02,  +3.9986954213410776E+01,
  +3.4700000000000000E+02,  +3.9987097277977725E+01,
  +3.4800000000000000E+02,  +4.2901117163378537E+01,
  +3.4900000000000000E+02,  +4.8502179049488198E+01,
  +3.5000000000000000E+02,  +4.8503588880869060E+01,
  +3.5100000000000000E+02,  +4.8509506668734986E+01,
  +3.5200000000000000E+02,  +4.8518054341279843E+01,
  +3.5300000000000000E+02,  +4.8527873384684085E+01,
  +3.5400000000000000E+02,  +4.8538260559754022E+01,
  +3.5500000000000000E+02,  +4.2537679396402403E+01,
  +3.5600000000000000E+02,  +4.2268360133574177E+01,
  +3.5700000000000000E+02,  +4.2255693291375103E+01,
  +3.5800000000000000E+02,  +4.2243180722590054E+01,
  +3.5900000000000000E+02,  +4.2230684798486791E+01,
  +3.6000000000000000E+02,  +4.9216402430933130E+01,
  +3.6100000000000000E+02,  +4.9216443927510355E+01,
  +3.6200000000000000E+02,  +4.9220626994836650E+01,
  +3.6300000000000000E+02,  +4.9226896240791277E+01,
  +3.6400000000000000E+02,  +4.9235921275128980E+01,
  +3.6500000000000000E+02,  +4.9249864536840249E+01,
  +3.6600000000000000E+02,  +4.1972265946117503E+01,
  +3.6700000000000000E+02,  +3.9999935487830790E+01,
  +3.6800000000000000E+02,  +3.9994529954893331E+01,
  +3.6900000000000000E+02,  +3.9990812705577660E+01,
  +3.7000000000000000E+02,  +3.9988805738318291E+01,
  +3.7100000000000000E+02,  +3.9987200859406975E+01,
  +3.7200000000000000E+02,  +4.2534708546082193E+01,
  +3.7300000000000000E+02,  +5.0470453758894870E+01,
  +3.7400000000000000E+02,  +5.0470744185229222E+01,
  +3.7500000000000000E+02,  +5.0475570456046356E+01,
  +3.7600000000000000E+02,  +5.0483580088072841E+01,
  +3.7700000000000000E+02,  +5.0493471331103891E+01,
  +3.7800000000000000E+02,  +5.0504956171864890E+01,
  +3.7900000000000000E+02,  +4.5726754225391232E+01,
  +3.8000000000000000E+02,  +4.0964221797580528E+01,
  +3.8100000000000000E+02,  +4.0002163621478353E+01,
  +3.8200000000000000E+02,  +3.9997882581031845E+01,
  +3.8300000000000000E+02,  +3.9993624323116265E+01,
  +3.8400000000000000E+02,  +3.9990464078629827E+01,
  +3.8500000000000000E+02,  +4.0410617433119469E+01,
  +3.8600000000000000E+02,  +4.8382050163960386E+01,
  +3.8700000000000000E+02,  +4.8385932106599860E+01,
  +3.8800000000000000E+02,  +4.5047310550327254E+01,
  +3.8900000000000000E+02,  +4.8411665106761895E+01,
  +3.9000000000000000E+02,  +4.3786462218684335E+01,
  +3.9100000000000000E+02,  +4.0001964726280221E+01,
  +3.9200000000000000E+02,  +3.9995292986753228E+01,
  +3.9300000000000000E+02,  +3.9991473147225875E+01,
  +3.9400000000000000E+02,  +4.0466315665776470E+01,
  +3.9500000000000000E+02,  +4.3965857972643299E+01,
  +3.9600000000000000E+02,  +5.0434973573228405E+01,
  +3.9700000000000000E+02,  +5.0446054131860258E+01,
  +3.9800000000000000E+02,  +5.0461081056994118E+01,
  +3.9900000000000000E+02,  +5.0478579913781154E+01,
  +4.0000000000000000E+02,  +4.8285056075748749E+01,
  +4.0100000000000000E+02,  +4.6035696599769452E+01,
