 TIME                                   ,T_R                                     ,
  +2.5900000000000000E+02,  +5.1188606780879617E+01,
  +2.6000000000000000E+02,  +5.2434828473730512E+01,
  +2.6100000000000000E+02,  +5.3230601712911060E+01,
  +2.6200000000000000E+02,  +5.2919908595808053E+01,
  +2.6300000000000000E+02,  +5.3266926630757673E+01,
  +2.6400000000000000E+02,  +5.4082106461003448E+01,
  +2.6500000000000000E+02,  +5.4445573849915945E+01,
  +2.6600000000000000E+02,  +5.4255007861503728E+01,
  +2.6700000000000000E+02,  +5.4250706090507578E+01,
  +2.6800000000000000E+02,  +5.4001805191611865E+01,
  +2.6900000000000000E+02,  +5.2829738727651176E+01,
  +2.7000000000000000E+02,  +5.0675187758553335E+01,
  +2.7100000000000000E+02,  +4.7983570037548752E+01,
  +2.7200000000000000E+02,  +4.5425579795632515E+01,
  +2.7300000000000000E+02,  +4.3060263376878261E+01,
  +2.7400000000000000E+02,  +4.0905059724226710E+01,
  +2.7500000000000000E+02,  +3.8860617941335370E+01,
  +2.7600000000000000E+02,  +4.4566590695337588E+01,
  +2.7700000000000000E+02,  +4.5953230724418162E+01,
  +2.7800000000000000E+02,  +4.2523868811572513E+01,
  +2.7900000000000000E+02,  +3.9943868854784093E+01,
  +2.8000000000000000E+02,  +4.4925879224471856E+01,
  +2.8100000000000000E+02,  +4.5766311921712024E+01,
  +2.8200000000000000E+02,  +4.7501572717083960E+01,
  +2.8300000000000000E+02,  +5.0632637061025108E+01,
  +2.8400000000000000E+02,  +4.9394354629735965E+01,
  +2.8500000000000000E+02,  +5.0109247214521609E+01,
  +2.8600000000000000E+02,  +5.2311485473522843E+01,
  +2.8700000000000000E+02,  +5.2177544736464121E+01,
  +2.8800000000000000E+02,  +5.0622815827353989E+01,
  +2.8900000000000000E+02,  +4.8895544675594735E+01,
  +2.9000000000000000E+02,  +4.7065785089179954E+01,
  +2.9100000000000000E+02,  +4.5217758179335135E+01,
  +2.9200000000000000E+02,  +4.3262818024716573E+01,
  +2.9300000000000000E+02,  +4.0583864824928838E+01,
  +2.9400000000000000E+02,  +4.4297421183170364E+01,
  +2.9500000000000000E+02,  +4.3124795559990432E+01,
  +2.9600000000000000E+02,  +3.8656919796015963E+01,
  +2.9700000000000000E+02,  +4.3489427518735184E+01,
  +2.9800000000000000E+02,  +4.3605936897173166E+01,
  +2.9900000000000000E+02,  +3.9300537490202053E+01,
  +3.0000000000000000E+02,  +4.4006492693681103E+01,
