 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +2.4600000000000000E+02,  +5.9338468533754650E+01,  +5.4980771544975568E+01,  +5.1668450118405140E+01,
  +2.4700000000000000E+02,  +5.8654935614592063E+01,  +5.4475340347599030E+01,  +5.1268203039178488E+01,
  +2.4800000000000000E+02,  +5.5867578710545594E+01,  +5.2232414223551821E+01,  +4.9155685073863893E+01,
  +2.4900000000000000E+02,  +5.3589456586419828E+01,  +5.0195311981349825E+01,  +4.6998288455762669E+01,
  +2.5000000000000000E+02,  +5.1634165881547695E+01,  +4.8313472634163027E+01,  +4.5039151190620842E+01,
  +2.5100000000000000E+02,  +5.6219581105976083E+01,  +5.0754669602952397E+01,  +4.7042805828118802E+01,
  +2.5200000000000000E+02,  +5.7440730183092548E+01,  +5.1573257307623507E+01,  +4.8322633089006814E+01,
  +2.5300000000000000E+02,  +5.4621779260094002E+01,  +4.9986086493046628E+01,  +4.7312869498450425E+01,
  +2.5400000000000000E+02,  +5.2449995576010593E+01,  +4.8587745952111540E+01,  +4.5785531817108783E+01,
  +2.5500000000000000E+02,  +5.0573951944341509E+01,  +4.7084460410939350E+01,  +4.4049022545894431E+01,
  +2.5600000000000000E+02,  +5.5553993470535318E+01,  +4.9815478377341769E+01,  +4.6127861930646738E+01,
  +2.5700000000000000E+02,  +5.6542475678815926E+01,  +5.0550650856515169E+01,  +4.7388797489115184E+01,
  +2.5800000000000000E+02,  +5.8201405950234395E+01,  +5.2787896956849679E+01,  +4.9448329010920929E+01,
  +2.5900000000000000E+02,  +6.1188606780879617E+01,  +5.6660706954635430E+01,  +5.2988714775206951E+01,
  +2.6000000000000000E+02,  +6.2434828473730512E+01,  +5.9080551891269202E+01,  +5.5642848559337622E+01,
  +2.6100000000000000E+02,  +6.3230601712911060E+01,  +6.0651822352788429E+01,  +5.7443797697765859E+01,
  +2.6200000000000000E+02,  +6.2919908595808053E+01,  +6.0399011907177822E+01,  +5.7079126503611157E+01,
  +2.6300000000000000E+02,  +6.3266926630757673E+01,  +6.0909339055466667E+01,  +5.7754423174002071E+01,
  +2.6400000000000000E+02,  +6.4082106461003448E+01,  +6.2340011772255814E+01,  +5.9566609946396085E+01,
  +2.6500000000000000E+02,  +6.4445573849915945E+01,  +6.3216159412246398E+01,  +6.0720872919599977E+01,
  +2.6600000000000000E+02,  +6.4255007861503728E+01,  +6.2856837378482055E+01,  +5.9904320970770740E+01,
  +2.6700000000000000E+02,  +6.4250706090507578E+01,  +6.2790723668301730E+01,  +5.9875229121109868E+01,
  +2.6800000000000000E+02,  +6.4001805191611865E+01,  +6.2331309673562195E+01,  +5.9223742225065834E+01,
  +2.6900000000000000E+02,  +6.2829738727651176E+01,  +6.0436789470532489E+01,  +5.6799300630236701E+01,
  +2.7000000000000000E+02,  +6.0675187758553335E+01,  +5.7650408516059066E+01,  +5.4045786925337246E+01,
  +2.7100000000000000E+02,  +5.7983570037548752E+01,  +5.4684853489453019E+01,  +5.1251802257308974E+01,
  +2.7200000000000000E+02,  +5.5425579795632515E+01,  +5.2080295880397941E+01,  +4.8730617289459602E+01,
  +2.7300000000000000E+02,  +5.3060263376878261E+01,  +4.9720868154081799E+01,  +4.6390362467618409E+01,
  +2.7400000000000000E+02,  +5.0905059724226710E+01,  +4.7574761057940599E+01,  +4.4251957170617331E+01,
  +2.7500000000000000E+02,  +4.8860617941335370E+01,  +4.5537675069069813E+01,  +4.2219050691921957E+01,
  +2.7600000000000000E+02,  +5.4566590695337588E+01,  +4.8431585422100888E+01,  +4.4574438238430538E+01,
  +2.7700000000000000E+02,  +5.5953230724418162E+01,  +4.9426030763352372E+01,  +4.6245927099437409E+01,
  +2.7800000000000000E+02,  +5.2523868811572513E+01,  +4.7717141273903870E+01,  +4.5243570234512148E+01,
  +2.7900000000000000E+02,  +4.9943868854784093E+01,  +4.6133943852866906E+01,  +4.3381592746034663E+01,
  +2.8000000000000000E+02,  +5.4925879224471856E+01,  +4.8946509454443991E+01,  +4.5354512063141811E+01,
  +2.8100000000000000E+02,  +5.5766311921712024E+01,  +4.9647704631427551E+01,  +4.6563330383534179E+01,
  +2.8200000000000000E+02,  +5.7501572717083960E+01,  +5.1887375046206714E+01,  +4.8599186386731603E+01,
  +2.8300000000000000E+02,  +6.0632637061025108E+01,  +5.5807880963173609E+01,  +5.2145808969836317E+01,
  +2.8400000000000000E+02,  +5.9394354629735965E+01,  +5.5405320350339714E+01,  +5.2094794292049784E+01,
  +2.8500000000000000E+02,  +6.0109247214521609E+01,  +5.6037662627247322E+01,  +5.2702128947381119E+01,
  +2.8600000000000000E+02,  +6.2311485473522843E+01,  +5.8799854310578318E+01,  +5.5376092253810249E+01,
  +2.8700000000000000E+02,  +6.2177544736464121E+01,  +5.9013088228086765E+01,  +5.5610000686744215E+01,
  +2.8800000000000000E+02,  +6.0622815827353989E+01,  +5.7373744704399314E+01,  +5.3982515404890385E+01,
  +2.8900000000000000E+02,  +5.8895544675594735E+01,  +5.5597638265409870E+01,  +5.2234426944327282E+01,
  +2.9000000000000000E+02,  +5.7065785089179954E+01,  +5.3748406120966834E+01,  +5.0407128689537579E+01,
  +2.9100000000000000E+02,  +5.5217758179335135E+01,  +5.1895699322199398E+01,  +4.8565713749354096E+01,
  +2.9200000000000000E+02,  +5.3262818024716573E+01,  +4.9941519157053705E+01,  +4.6617016851924156E+01,
  +2.9300000000000000E+02,  +5.0583864824928838E+01,  +4.7261942460555588E+01,  +4.3933258808189606E+01,
  +2.9400000000000000E+02,  +5.4297421183170364E+01,  +4.8486695653379812E+01,  +4.5079534748447792E+01,
  +2.9500000000000000E+02,  +5.3124795559990432E+01,  +4.7807668943458658E+01,  +4.4988868491607789E+01,
  +2.9600000000000000E+02,  +4.8656919796015963E+01,  +4.4972775320033058E+01,  +4.2181096705713870E+01,
  +2.9700000000000000E+02,  +5.3489427518735184E+01,  +4.7225592909047585E+01,  +4.3712493784597505E+01,
  +2.9800000000000000E+02,  +5.3605936897173166E+01,  +4.7497662192862386E+01,  +4.4652148240824623E+01,
  +2.9900000000000000E+02,  +4.9300537490202053E+01,  +4.5178387746568134E+01,  +4.2618209949818592E+01,
  +3.0000000000000000E+02,  +5.4006492693681103E+01,  +4.7781550829458951E+01,  +4.4285732057234462E+01,
  +3.0100000000000000E+02,  +5.8881160895734723E+01,  +5.2742805228127018E+01,  +4.8989081908297436E+01,
  +3.0200000000000000E+02,  +6.0880671863489759E+01,  +5.6333986251660441E+01,  +5.2727657921787099E+01,
  +3.0300000000000000E+02,  +6.2144027432209555E+01,  +5.8642480283996164E+01,  +5.5211958298185621E+01,
  +3.0400000000000000E+02,  +6.2692713312452192E+01,  +5.9780847140238805E+01,  +5.6468770367587020E+01,
  +3.0500000000000000E+02,  +6.2995405300832388E+01,  +6.0380809852792012E+01,  +5.7130130357352762E+01,
  +3.0600000000000000E+02,  +6.3233494427405347E+01,  +6.0812274729949955E+01,  +5.7600134692100788E+01,
  +3.0700000000000000E+02,  +6.3209164245915296E+01,  +6.0805795394374350E+01,  +5.7567196418321089E+01,
  +3.0800000000000000E+02,  +6.3059805742778146E+01,  +6.0564748030189833E+01,  +5.7295258453668147E+01,
  +3.0900000000000000E+02,  +6.2907521296279874E+01,  +6.0309659501895702E+01,  +5.7024255467267409E+01,
  +3.1000000000000000E+02,  +6.3323085334728276E+01,  +6.0958725620151355E+01,  +5.7803464623307192E+01,
  +3.1100000000000000E+02,  +6.3893288270118816E+01,  +6.2000567360073660E+01,  +5.9070997904435693E+01,
  +3.1200000000000000E+02,  +6.4203557477286751E+01,  +6.2671148994361992E+01,  +5.9877516026825475E+01,
  +3.1300000000000000E+02,  +6.4349827905527292E+01,  +6.3008822424328280E+01,  +6.0282820755548272E+01,
  +3.1400000000000000E+02,  +6.4442041761988193E+01,  +6.3219539612095616E+01,  +6.0554656793788375E+01,
  +3.1500000000000000E+02,  +6.4471674197343134E+01,  +6.3284711785922646E+01,  +6.0608224098916303E+01,
  +3.1600000000000000E+02,  +6.4411857946216458E+01,  +6.3139321674145066E+01,  +6.0351359736471650E+01,
  +3.1700000000000000E+02,  +6.4110918428454141E+01,  +6.2496796630467642E+01,  +5.9446112605822755E+01,
  +3.1800000000000000E+02,  +6.3310521508831009E+01,  +6.1053726834959200E+01,  +5.7759230187989161E+01,
  +3.1900000000000000E+02,  +6.2767024279745357E+01,  +6.0110403168732404E+01,  +5.6785821001991557E+01,
  +3.2000000000000000E+02,  +6.0841792783473267E+01,  +5.7848871109750718E+01,  +5.4435063222055433E+01,
  +3.2100000000000000E+02,  +5.7366608717067123E+01,  +5.4099138834750192E+01,  +5.0686300376296153E+01,
  +3.2200000000000000E+02,  +5.3734495846384696E+01,  +5.0399723353204799E+01,  +4.7058502863336230E+01,
  +3.2300000000000000E+02,  +5.6438648379854030E+01,  +5.1248220246508389E+01,  +4.7781974001161885E+01,
  +3.2400000000000000E+02,  +5.9688880705643690E+01,  +5.4555052650559290E+01,  +5.1043233903892137E+01,
  +3.2500000000000000E+02,  +6.1122535724910392E+01,  +5.7032744612735826E+01,  +5.3580256438795828E+01,
  +3.2600000000000000E+02,  +6.2146131284814338E+01,  +5.8785287130290897E+01,  +5.5415384828870117E+01,
  +3.2700000000000000E+02,  +6.2658871788140218E+01,  +5.9757602457574670E+01,  +5.6453971400572925E+01,
  +3.2800000000000000E+02,  +6.2805907793489162E+01,  +6.0089569608005540E+01,  +5.6806363081359606E+01,
  +3.2900000000000000E+02,  +6.2768528766715256E+01,  +6.0063811834895809E+01,  +5.6771551115095100E+01,
  +3.3000000000000000E+02,  +6.2709229608764531E+01,  +5.9971327447040537E+01,  +5.6673512599182935E+01,
  +3.3100000000000000E+02,  +6.2573243469455591E+01,  +5.9762666035470360E+01,  +5.6453086702075865E+01,
  +3.3200000000000000E+02,  +5.9850246809676506E+01,  +5.6755868188426859E+01,  +5.3362530053964797E+01,
  +3.3300000000000000E+02,  +5.9523608447741907E+01,  +5.5517193689291801E+01,  +5.2157613999170998E+01,
  +3.3400000000000000E+02,  +5.8296390260462999E+01,  +5.4331077545347540E+01,  +5.1163871285815823E+01,
  +3.3500000000000000E+02,  +5.9565216880453114E+01,  +5.5302965214073438E+01,  +5.1941821171071503E+01,
  +3.3600000000000000E+02,  +6.1862837678587681E+01,  +5.8048969472531361E+01,  +5.4577244774943878E+01,
  +3.3700000000000000E+02,  +6.2836765384641545E+01,  +5.9901403080454081E+01,  +5.6583919348238020E+01,
  +3.3800000000000000E+02,  +6.2008621431204375E+01,  +5.9137087592253081E+01,  +5.5756552815171034E+01,
  +3.3900000000000000E+02,  +5.9893457356331233E+01,  +5.6750724158098869E+01,  +5.3303073334438515E+01,
  +3.4000000000000000E+02,  +5.7093739912373884E+01,  +5.3806152485800382E+01,  +5.0422668117599251E+01,
  +3.4100000000000000E+02,  +5.8004959731618065E+01,  +5.3491219098195089E+01,  +5.0144890725904055E+01,
  +3.4200000000000000E+02,  +5.4635605655580633E+01,  +5.0610243090147115E+01,  +4.7514038133501764E+01,
  +3.4300000000000000E+02,  +5.5178008955631640E+01,  +4.9924059843407150E+01,  +4.6775833966371991E+01,
  +3.4400000000000000E+02,  +5.2500717671587545E+01,  +4.7944714034773675E+01,  +4.5044448618906507E+01,
  +3.4500000000000000E+02,  +5.4313638857433652E+01,  +4.8596411627650518E+01,  +4.5459692093152441E+01,
  +3.4600000000000000E+02,  +5.2217649238716248E+01,  +4.7289465275964787E+01,  +4.4453528114970275E+01,
  +3.4700000000000000E+02,  +5.4115927459743681E+01,  +4.8264319571798566E+01,  +4.5163453225063989E+01,
  +3.4800000000000000E+02,  +5.7959912428164330E+01,  +5.2050914032531445E+01,  +4.8591898231950282E+01,
  +3.4900000000000000E+02,  +5.9691999826054484E+01,  +5.4873185322093086E+01,  +5.1456330939746579E+01,
  +3.5000000000000000E+02,  +6.0856039570709633E+01,  +5.6784558666587110E+01,  +5.3393282646668908E+01,
  +3.5100000000000000E+02,  +6.1505100657148105E+01,  +5.7910517970896919E+01,  +5.4546898687936860E+01,
  +3.5200000000000000E+02,  +6.1692479032755180E+01,  +5.8318322099403595E+01,  +5.4979724351776170E+01,
