 TIME                                   ,p_heat                                  ,m_flow                                  ,
  +2.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.5000000000000000E+01,  +1.4792000000000000E+01,  +7.0000000000000000E+02,
  +3.6000000000000000E+01,  +1.1313000000000001E+01,  +7.0000000000000000E+02,
  +3.7000000000000000E+01,  +8.7639999999999993E+00,  +7.0000000000000000E+02,
  +3.8000000000000000E+01,  +6.9269999999999996E+00,  +7.0000000000000000E+02,
  +3.9000000000000000E+01,  +5.7880000000000003E+00,  +7.0000000000000000E+02,
  +4.0000000000000000E+01,  +5.2460000000000004E+00,  +7.0000000000000000E+02,
  +4.1000000000000000E+01,  +4.9009999999999998E+00,  +7.0000000000000000E+02,
  +4.2000000000000000E+01,  +4.9480000000000004E+00,  +7.0000000000000000E+02,
  +4.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.7000000000000000E+01,  +1.1055000000000000E+01,  +7.0000000000000000E+02,
  +4.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.1000000000000000E+01,  +1.1893000000000001E+01,  +7.0000000000000000E+02,
  +5.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.4000000000000000E+01,  +1.2949999999999999E+01,  +7.0000000000000000E+02,
  +5.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.6000000000000000E+01,  +1.2301000000000000E+01,  +7.0000000000000000E+02,
  +5.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.9000000000000000E+01,  +1.2390000000000001E+01,  +7.0000000000000000E+02,
  +6.0000000000000000E+01,  +9.6620000000000008E+00,  +7.0000000000000000E+02,
  +6.1000000000000000E+01,  +7.6390000000000002E+00,  +7.0000000000000000E+02,
  +6.2000000000000000E+01,  +6.2660000000000000E+00,  +7.0000000000000000E+02,
  +6.3000000000000000E+01,  +5.2539999999999996E+00,  +7.0000000000000000E+02,
  +6.4000000000000000E+01,  +4.6050000000000004E+00,  +7.0000000000000000E+02,
  +6.5000000000000000E+01,  +4.3120000000000003E+00,  +7.0000000000000000E+02,
  +6.6000000000000000E+01,  +4.0439999999999996E+00,  +7.0000000000000000E+02,
  +6.7000000000000000E+01,  +4.2359999999999998E+00,  +7.0000000000000000E+02,
  +6.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.9000000000000000E+01,  +5.9080000000000004E+00,  +7.0000000000000000E+02,
  +7.0000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.1000000000000000E+01,  +5.6189999999999998E+00,  +7.0000000000000000E+02,
  +7.2000000000000000E+01,  +4.4770000000000003E+00,  +7.0000000000000000E+02,
  +7.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.4000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E+01,  +5.8470000000000004E+00,  +7.0000000000000000E+02,
  +7.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+01,  +1.2529999999999999E+01,  +7.0000000000000000E+02,
  +8.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.4000000000000000E+01,  +1.4375000000000000E+01,  +7.0000000000000000E+02,
  +8.5000000000000000E+01,  +1.1154000000000000E+01,  +7.0000000000000000E+02,
  +8.6000000000000000E+01,  +8.7789999999999999E+00,  +7.0000000000000000E+02,
  +8.7000000000000000E+01,  +7.2619999999999996E+00,  +7.0000000000000000E+02,
  +8.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.0000000000000000E+01,  +9.6850000000000005E+00,  +7.0000000000000000E+02,
  +9.1000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.2000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.3000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.4000000000000000E+01,  +1.2782999999999999E+01,  +7.0000000000000000E+02,
  +9.5000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.6000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.7000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.8000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.9000000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0100000000000000E+02,  +1.4911000000000000E+01,  +7.0000000000000000E+02,
  +1.0200000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0300000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0400000000000000E+02,  +1.5218999999999999E+01,  +7.0000000000000000E+02,
  +1.0500000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0600000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0700000000000000E+02,  +1.4817000000000000E+01,  +7.0000000000000000E+02,
