 TIME                                   ,T_M                                     ,
 HOURS              ,"°C"                ,
  +3.9800000000000000E+02,  +5.8945671303836782E+01,
  +3.9900000000000000E+02,  +5.9469501551947332E+01,
  +4.0000000000000000E+02,  +5.9423694154400572E+01,
  +4.0100000000000000E+02,  +5.9175501365979919E+01,
  +4.0200000000000000E+02,  +5.8799974728390929E+01,
  +4.0300000000000000E+02,  +5.8168037912555555E+01,
  +4.0400000000000000E+02,  +5.7612393050142764E+01,
  +4.0500000000000000E+02,  +5.7669382477437381E+01,
  +4.0600000000000000E+02,  +5.8696219293142256E+01,
  +4.0700000000000000E+02,  +5.9773658937529291E+01,
  +4.0800000000000000E+02,  +6.0546561302922804E+01,
  +4.0900000000000000E+02,  +6.1089440708034715E+01,
  +4.1000000000000000E+02,  +6.1424595319323110E+01,
  +4.1100000000000000E+02,  +6.1546586012096604E+01,
  +4.1200000000000000E+02,  +6.1503876926744745E+01,
  +4.1300000000000000E+02,  +5.9135046438007272E+01,
  +4.1400000000000000E+02,  +5.7188731152141806E+01,
  +4.1500000000000000E+02,  +5.3911429532362114E+01,
  +4.1600000000000000E+02,  +5.3501996850912320E+01,
  +4.1700000000000000E+02,  +5.1803510514031416E+01,
  +4.1800000000000000E+02,  +5.2682874158665214E+01,
  +4.1900000000000000E+02,  +5.5417392578538674E+01,
  +4.2000000000000000E+02,  +5.7304130237812480E+01,
  +4.2100000000000000E+02,  +5.8625989200384083E+01,
  +4.2200000000000000E+02,  +5.9439007396668693E+01,
  +4.2300000000000000E+02,  +5.9946730873762213E+01,
  +4.2400000000000000E+02,  +6.0001608062662093E+01,
  +4.2500000000000000E+02,  +5.7840134327704327E+01,
  +4.2600000000000000E+02,  +5.7003107970415236E+01,
  +4.2700000000000000E+02,  +5.7733407055094538E+01,
  +4.2800000000000000E+02,  +5.8128006280254681E+01,
  +4.2900000000000000E+02,  +5.8365198764651780E+01,
  +4.3000000000000000E+02,  +5.9478804742709258E+01,
  +4.3100000000000000E+02,  +6.0738367456901983E+01,
  +4.3200000000000000E+02,  +6.1673922613834030E+01,
  +4.3300000000000000E+02,  +6.2319273482323950E+01,
  +4.3400000000000000E+02,  +6.2742010945835212E+01,
  +4.3500000000000000E+02,  +6.2862452566476556E+01,
  +4.3600000000000000E+02,  +6.1921734687197670E+01,
  +4.3700000000000000E+02,  +6.1419771659955984E+01,
  +4.3800000000000000E+02,  +5.9554488773654676E+01,
  +4.3900000000000000E+02,  +5.6394308499121301E+01,
  +4.4000000000000000E+02,  +5.3588027476989090E+01,
  +4.4100000000000000E+02,  +5.1032718045020488E+01,
  +4.4200000000000000E+02,  +5.2997941852791065E+01,
  +4.4300000000000000E+02,  +5.6747351644459549E+01,
  +4.4400000000000000E+02,  +5.9302843967331150E+01,
  +4.4500000000000000E+02,  +6.0846734491330004E+01,
  +4.4600000000000000E+02,  +6.1617793952552312E+01,
  +4.4700000000000000E+02,  +6.2001368304282927E+01,
  +4.4800000000000000E+02,  +6.2049117137546666E+01,
  +4.4900000000000000E+02,  +6.2038335031710552E+01,
  +4.5000000000000000E+02,  +6.1856881226783031E+01,
  +4.5100000000000000E+02,  +6.1727613590009504E+01,
  +4.5200000000000000E+02,  +6.1612762454630321E+01,
  +4.5300000000000000E+02,  +6.1506643878109621E+01,
  +4.5400000000000000E+02,  +6.0606166026868095E+01,
  +4.5500000000000000E+02,  +6.0861825407376557E+01,
  +4.5600000000000000E+02,  +6.1940682995058864E+01,
  +4.5700000000000000E+02,  +6.2589363139991775E+01,
  +4.5800000000000000E+02,  +6.1763372719526892E+01,
  +4.5900000000000000E+02,  +6.1546340642165596E+01,
  +4.6000000000000000E+02,  +6.2189142886992300E+01,
  +4.6100000000000000E+02,  +6.0521174888839518E+01,
  +4.6200000000000000E+02,  +5.9243447997149239E+01,
  +4.6300000000000000E+02,  +5.6965494400249860E+01,
  +4.6400000000000000E+02,  +5.3349466217560099E+01,
  +4.6500000000000000E+02,  +5.4069447086629054E+01,
  +4.6600000000000000E+02,  +5.3096951378308709E+01,
  +4.6700000000000000E+02,  +5.3934154593988417E+01,
  +4.6800000000000000E+02,  +5.6511019555187680E+01,
  +4.6900000000000000E+02,  +5.8343947639870272E+01,
  +4.7000000000000000E+02,  +5.9558899980994880E+01,
  +4.7100000000000000E+02,  +6.0172229721888385E+01,
  +4.7200000000000000E+02,  +6.0406914505413738E+01,
  +4.7300000000000000E+02,  +6.0562086775467435E+01,
  +4.7400000000000000E+02,  +6.0549959958768660E+01,
  +4.7500000000000000E+02,  +6.0263956745902021E+01,
  +4.7600000000000000E+02,  +5.9798467232023853E+01,
  +4.7700000000000000E+02,  +5.9508817618693776E+01,
  +4.7800000000000000E+02,  +6.0155405804523248E+01,
